percent,qq,workerid,theta,resp,percent_cat
1,Most,1,0.86712916762769,1,1-20
1,Most,1,0.86712916762769,1,1-20
2,Most,1,0.857601243872185,0,1-20
2,Most,1,0.857601243872185,1,1-20
3,Most,1,0.84751024017502,1,1-20
3,Most,1,0.84751024017502,1,1-20
4,Most,1,0.836840190887933,0,1-20
4,Most,1,0.836840190887933,1,1-20
5,Most,1,0.825577190749395,1,1-20
5,Most,1,0.825577190749395,0,1-20
6,Most,1,0.813709778550925,0,1-20
6,Most,1,0.813709778550925,1,1-20
7,Most,1,0.801229332299686,1,1-20
7,Most,1,0.801229332299686,0,1-20
8,Most,1,0.788130468419163,1,1-20
8,Most,1,0.788130468419163,1,1-20
9,Most,1,0.774411436092457,1,1-20
9,Most,1,0.774411436092457,1,1-20
10,Most,1,0.760074496503207,1,1-20
10,Most,1,0.760074496503207,1,1-20
11,Most,1,0.745126275557504,1,1-20
11,Most,1,0.745126275557504,1,1-20
12,Most,1,0.729578077775559,1,1-20
12,Most,1,0.729578077775559,0,1-20
13,Most,1,0.713446148527618,0,1-20
13,Most,1,0.713446148527618,1,1-20
14,Most,1,0.696751871754132,1,1-20
14,Most,1,0.696751871754132,1,1-20
15,Most,1,0.679521890842781,1,1-20
15,Most,1,0.679521890842781,1,1-20
16,Most,1,0.661788141499089,1,1-20
16,Most,1,0.661788141499089,1,1-20
17,Most,1,0.643587787275693,1,1-20
17,Most,1,0.643587787275693,1,1-20
18,Most,1,0.624963050909045,0,1-20
18,Most,1,0.624963050909045,0,1-20
19,Most,1,0.605960937695125,0,1-20
19,Most,1,0.605960937695125,1,1-20
20,Most,1,0.586632850711103,1,1-20
20,Most,1,0.586632850711103,0,1-20
21,Most,1,0.567034101602358,1,21-40
21,Most,1,0.567034101602358,0,21-40
22,Most,1,0.547223324707019,1,21-40
22,Most,1,0.547223324707019,1,21-40
23,Most,1,0.527261806256828,0,21-40
23,Most,1,0.527261806256828,1,21-40
24,Most,1,0.507212744034401,1,21-40
24,Most,1,0.507212744034401,0,21-40
25,Most,1,0.487140455950246,0,21-40
25,Most,1,0.487140455950246,0,21-40
26,Most,1,0.467109558322828,0,21-40
26,Most,1,0.467109558322828,0,21-40
27,Most,1,0.447184136042234,0,21-40
27,Most,1,0.447184136042234,1,21-40
28,Most,1,0.427426927174986,0,21-40
28,Most,1,0.427426927174986,1,21-40
29,Most,1,0.407898543897567,0,21-40
29,Most,1,0.407898543897567,0,21-40
30,Most,1,0.388656749976589,1,21-40
30,Most,1,0.388656749976589,0,21-40
31,Most,1,0.369755812460356,1,21-40
31,Most,1,0.369755812460356,0,21-40
32,Most,1,0.351245941983971,0,21-40
32,Most,1,0.351245941983971,1,21-40
33,Most,1,0.333172832333124,0,21-40
33,Most,1,0.333172832333124,1,21-40
34,Most,1,0.31557730589684,0,21-40
34,Most,1,0.31557730589684,1,21-40
35,Most,1,0.298495067604311,0,21-40
35,Most,1,0.298495067604311,0,21-40
36,Most,1,0.281956566105004,0,21-40
